Rank	Player	Wins	Losses	yElo
153	Luca Nardi	28	30	1623.6
154	Hugo Grenier	39	33	1622.9
155	Harold Mayot	38	31	1620.0
156	Filip Misolic	48	26	1619.1
157	Rinky Hijikata	34	33	1618.7
158	Marco Trungelliti	47	30	1618.4
159	Titouan Droguet	40	24	1612.2
160	Ugo Blanchet	29	27	1612.1
161	Shintaro Mochizuki	43	30	1611.9
162	Kyrian Jacquet	33	23	1609.6
163	Kyle Edmund	4	1	1609.3
164	Zdenek Kolar	28	19	1606.5
165	Carlos Taberner	46	28	1605.2
166	Laslo Djere	25	21	1604.9
167	Yosuke Watanuki	29	23	1602.7
168	Yi Zhou	21	21	1600.6
169	Alexander Vasilev	3	2	1599.8
170	Dan Added	20	15	1597.9
171	Francesco Passaro	41	27	1597.0
172	Luca Van Assche	32	26	1596.0
173	Rei Sakamoto	25	23	1595.3
174	Adam Walton	36	34	1593.5
175	Sebastian Ofner	20	19	1591.2
176	Cedrik Marcel Stebe	16	9	1588.4
177	Trevor Svajda	10	7	1587.2
178	Stefano Travaglia	28	19	1586.0
179	Jay Dylan Hara Friend	8	5	1585.4
180	Sumit Nagal	25	26	1582.2
181	Daniel Evans	20	23	1582.0
182	Nicolas Moreno De Alboran	4	6	1580.7
183	Andrea Vavassori	8	6	1579.8
184	Dhakshineswar Suresh	8	5	1577.1
185	Henri Squire	22	26	1576.4
186	Sebastian Baez	20	27	1576.3
187	Henrique Rocha	34	29	1575.7
188	Daniel Merida Aguilar	30	21	1575.3
189	Dusan Lajovic	36	33	1574.8
190	Aleksandar Kovacevic	34	33	1569.4
191	Dane Sweeny	11	7	1569.2
192	Akira Santillan	5	2	1566.5
193	Stefan Kozlov	15	10	1565.6
194	Roberto Carballes Baena	19	24	1565.2
195	Jurij Rodionov	41	30	1564.1
196	August Holmgren	22	23	1563.5
197	Jack Pinnington Jones	20	13	1562.8
198	Zhizhen Zhang	5	12	1562.2
199	Dominik Koepfer	7	6	1561.7
200	Matteo Gigante	25	22	1560.7
201	Colton Smith	30	19	1559.8
202	Thiago Agustin Tirante	48	33	1558.9
203	Alejandro Moro Canas	30	29	1558.7
204	Jay Clarke	29	23	1556.9
205	Moez Echargui	24	12	1556.6
206	Chun Hsin Tseng	32	34	1555.5
207	Gianluca Cadenasso	8	4	1555.5
208	Jason Kubler	20	14	1555.3
209	Duncan Chan	4	2	1553.1
210	Federico Agustin Gomez	27	30	1552.4
211	Tristan Schoolkate	44	36	1549.0
212	Juan Carlos Prado Angelo	33	26	1547.6
213	Bernard Tomic	40	33	1547.3
214	Sandro Kopp	12	7	1547.2
215	Mitchell Krueger	29	31	1547.1
216	J J Wolf	4	4	1546.8
217	Gonzalo Bueno	40	30	1546.3
218	Vitaliy Sachko	25	29	1545.0
219	Justin Engel	21	29	1544.0
220	Stefanos Sakellaridis	17	11	1543.4
221	Daniel Elahi Galan	32	27	1543.3
222	George Loffhagen	18	11	1542.3
223	Matej Dodig	22	23	1541.9
224	Matisse Bobichon	3	2	1540.0
225	Gabriel Ghetu	3	1	1537.2
226	Alex Barrena	32	16	1534.5
227	Nicolas Mejia	36	32	1533.7
228	Lukas Klein	30	26	1533.4
229	Ryan Peniston	20	16	1533.1
230	Felipe Meligeni Alves	17	13	1532.1
231	Liam Draxl	48	29	1531.8
232	Mert Alkaya	6	3	1531.7
233	Carlos Lopez Montagud	4	3	1531.6
234	Hayato Matsuoka	7	4	1529.8
235	Mikhail Kukushkin	20	24	1529.4
236	Facundo Diaz Acosta	23	22	1529.2
237	Marco Cecchinato	26	23	1527.8
238	Luka Pavlovic	26	20	1527.3
239	Oliver Tarvet	9	8	1526.2
240	Joel Schwaerzler	21	21	1525.8
241	Michael Geerts	23	23	1524.6
242	Duje Ajdukovic	21	25	1523.1
243	Yu Hsiou Hsu	32	24	1522.6
244	Quentin Halys	19	31	1519.1
245	Clement Tabur	20	19	1519.0
246	Petr Brunclik	17	13	1518.9
247	Carl Emil Overbeck	5	3	1518.6
248	Juan Pablo Varillas	25	17	1518.3
249	Federico Coria	20	18	1517.9
